Task,GraspType,Object,Reponses,Instruction
Hold,Lateral,Wine glas,5,How would you hold a wine glass?
Hold,MediumWrap,Wine glas,14,How would you hold a wine glass?
Hold,Tripod,Wine glas,0,How would you hold a wine glass?
Hold,Writing,Wine glas,1,How would you hold a wine glass?
Hold,Lateral,Chestnut,1,How would you hold a chestnut?
Hold,MediumWrap,Chestnut,5,How would you hold a chestnut?
Hold,Tripod,Chestnut,8,How would you hold a chestnut?
Hold,Writing,Chestnut,6,How would you hold a chestnut?
Hold,Lateral,Whisk,9,How would you hold a whisk?
Hold,MediumWrap,Whisk,4,How would you hold a whisk?
Hold,Tripod,Whisk,5,How would you hold a whisk?
Hold,Writing,Whisk,2,How would you hold a whisk?
